 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | otherfake | 37.1668 pm 0.763494 | 10.3591 pm 0.444398 | 4.36094 pm 0.759461 | 6.13169 pm 1.29737 | 27.2931 pm 0.316442 | 24.0332 pm 0.344356 | 14.1685 pm 0.171872 | 12.0525 pm 0.15131 | 0.873936 pm 0.214944 | 0.411539 pm 0.0164547 | 2.31651 pm 0.393178 | 1.42332 pm 0.453733 | 19.8774 pm 0.209579 | 
 | singleTop | 4.20235 pm 1.26366 | 0.11764 pm 0.035651 | 5.0426 pm 1.52668 | 9.89153 pm 2.97726 | 19.9881 pm 6.00068 | 12.7166 pm 3.81923 | 19.4946 pm 5.85266 | 14.0187 pm 4.20949 | 0.357209 pm 0.122848 | 0.270995 pm 0.106642 | 2.03257 pm 0.625955 | 1.57196 pm 0.472556 | 9.143 pm 2.74424 | 
 | Diboson | 9.47547 pm 1.91559 | 0.17197 pm 0.0419511 | 11.3378 pm 0.961251 | 18.524 pm 1.13549 | 11.7996 pm 2.50264 | 8.95284 pm 1.87791 | 88.3621 pm 18.6634 | 60.6632 pm 12.6553 | 0.155789 pm 0.0539556 | 0.124347 pm 0.0415463 | 0.928675 pm 0.302965 | 1.25576 pm 0.407163 | 7.39328 pm 2.30112 | 
 | triboson | 0.0693844 pm 0.00142532 | 0.00321776 pm 0.000621236 | 0.31226 pm 0.0119297 | 0.482794 pm 0.0125451 | 0.0881263 pm 0.000984718 | 0.0817432 pm 0.0084554 | 1.36261 pm 0.01525 | 1.02413 pm 0.0128845 | 0.000858737 pm 8.77098e-05 | 0.0120682 pm 0.00571227 | 0.00823348 pm 0.000856594 | 0.0441007 pm 0.000839593 | 0.0800034 pm 0.000690506 | 
 | vh | 1e-06 pm 5.00422e-07 | 1e-06 pm 5.01837e-07 | 0.319934 pm 0.177232 | 0.122836 pm 0.263513 | 3e-06 pm 1.50068e-06 | 0.317431 pm 0.457432 | 0.408116 pm 0.325987 | 0.297684 pm 0.728895 | 2e-06 pm 1.00093e-06 | 2e-06 pm 1.0022e-06 | 4e-06 pm 2.00109e-06 | 3e-06 pm 1.50113e-06 | 4e-06 pm 2.00029e-06 | 
 | t#bar{t}W^{+} | 6.2389 pm 0.128162 | 0.13418 pm 0.00575623 | 4.10283 pm 0.153365 | 8.47579 pm 0.239791 | 97.0929 pm 1.5176 |  0 pm 0 | 40.0796 pm 0.733532 |  0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}W^{-} | 3.52775 pm 0.0724683 | 0.0905233 pm 0.0113693 | 2.57144 pm 0.0931321 | 4.66214 pm 0.132293 |  0 pm 0 | 52.5738 pm 1.05984 |  0 pm 0 | 21.7765 pm 0.454633 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | ttZp2000 | 0.0245135 pm 0.000503566 | 0.000913658 pm 3.91952e-05 | 0 pm 0 | 0.000606884 pm 0.000808976 | 0.136646 pm 0.00181206 | 0.141884 pm 0.00217547 | 0.355075 pm 0.0151252 | 0.368026 pm 0.0111379 | 3.64834 pm 0.0624844 | 0.991458 pm 0.0344646 | 3.27438 pm 0.0611816 | 0.53318 pm 0.0112016 | 1.8749 pm 0.0178008 | 
 | Total | 309.269 pm 7.94119 | 73.0304 pm 3.14679 | 121.033 pm 4.41649 | 190.611 pm 5.92905 | 368.991 pm 13.5598 | 311.406 pm 11.7059 | 492.043 pm 23.1667 | 430.865 pm 17.4127 | 27.7037 pm 3.14498 | 13.1221 pm 1.10012 | 78.0651 pm 3.87918 | 38.2721 pm 3.07234 | 282.636 pm 12.2916 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
