 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_5 | 0.0614673 / -0.0614673 | 0 / 0 | -0.027674 / 0.0276741 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0498376 / -0.0498375 | 0 / 0 | 0 / 0 | -0.11233 / 0.11233 | -0.03469 / 0.0346901 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0836109 / -0.0836109 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_6 | -0.0962464 / 0.0962464 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0310197 / -0.0310197 | 0 / 0 | 0 / 0 | 0.0340456 / -0.0340455 | 0 / 0 | 0 / 0 | 0 / 0 | -0.113807 / 0.113807 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0.117092 / -0.117092 | 0 / 0 | 0.0288511 / -0.0288511 | 0 / 0 | 0 / 0 | -0.0398856 / 0.0398855 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.115284 / -0.115284 | -0.0581297 / 0.0581297 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0257201 / -0.02572 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0740544 / -0.0740544 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.221521 / 0.221521 |
 | JET_JER_EffectiveNP_7 | -0.0235274 / 0.0235275 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0477702 / 0.0477702 | 0 / 0 | 0 / 0 | 0 / 0 | -0.113807 / 0.113807 | 0.0322375 / -0.0322375 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_7 | -0.0729132 / 0.0729132 | 0 / 0 | 0 / 0 | -0.0272237 / 0.0272237 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.113807 / -0.113807 | 0.026444 / -0.026444 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_8 | 0.0913191 / -0.091319 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0497786 / 0.0497786 | 0 / 0 | 0 / 0 | 0.113807 / -0.113807 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_8 | -0.113125 / 0.113125 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0236897 / -0.0236896 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0434159 / -0.043416 | 0 / 0 | 0 / 0 | -0.113807 / 0.113807 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_9 | 0.0635989 / -0.0635989 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0870213 / 0.0870213 | 0 / 0 | 0 / 0 | 0 / 0 | 0.113807 / -0.113807 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0244148 / -0.0244149 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.297163 / -0.297163 |
 | JET_JER_EffectiveNP_9 | 0.0275834 / -0.0275834 | 0.0226711 / -0.0226711 | 0.028123 / -0.028123 | 0 / 0 | 0 / 0 | 0.0383313 / -0.0383314 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0524255 / 0.0524255 | 0 / 0 | 0 / 0 | -0.115284 / 0.115284 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.0632344 / 0.0632344 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_1 | -0.0333329 / 0.0333329 | 0 / 0 | -0.0275867 / 0.0275867 | 0 / 0 | 0 / 0 | -0.0305007 / 0.0305007 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.11233 / 0.11233 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.021204 / -0.021204 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.221521 / 0.221521 |
