 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0234998 / -0.0234997 | 0 / 0 | 0 / 0 | 0.0841674 / -0.0841674 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.48499 / 0.48499 | -0.0265571 / 0.0265571 | 0 / 0 | 0 / 0 | -0.100852 / 0.100852 | -0.0268397 / 0.0268397 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0.0299923 / -0.0299923 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0361269 / -0.0361269 | 0 / 0 | 0 / 0 | -0.0650879 / 0.0650879 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0227654 / 0.0227654 | 0 / 0 | 0 / 0 | 0.0332934 / -0.0332934 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.054251 / 0.054251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0271008 / 0.0271008 | 0 / 0 | 0 / 0 | -0.0328411 / 0.0328411 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0539037 / -0.0539036 | 0 / 0 | -0.0358766 / 0.0358766 | 0 / 0 | 0 / 0 | 0.0700907 / -0.0700907 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0228633 / -0.0228634 | 0 / 0 | 0 / 0 | -0.0351731 / 0.0351731 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0510237 / 0.0510237 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0224141 / -0.0224141 | 0 / 0 | 0 / 0 | 0.0314825 / -0.0314825 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.037429 / -0.037429 | 0 / 0 | 0 / 0 | -0.0378573 / 0.0378573 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_NNJvtEfficiency | 0 / 0 | 0 / 0 | 0.0214939 / -0.0214939 | 0 / 0 | 0 / 0 | 0.0253427 / -0.0253427 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200861 / -0.0200861 | 0 / 0 | 0 / 0 | 0.0241118 / -0.0241118 | 0.0307549 / -0.0307549 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0 / 0 | 0 / 0 | 0.0272691 / -0.0272691 | 0 / 0 | 0 / 0 | 0.0212588 / -0.0212588 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0363587 / -0.0363587 | 0 / 0 | 0 / 0 | 0.0282176 / -0.0282176 | 0 / 0 | 0.0242206 / -0.0242206 | 0.0217017 / -0.0217017 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.021679 / -0.021679 |
 | FT_EFF_Eigen_C_3__1 | 0 / 0 | 0 / 0 | 0.0509381 / -0.0509381 | 0 / 0 | 0.0245468 / -0.0245468 | 0.0329673 / -0.0329673 | 0.0390977 / -0.0390977 | 0 / 0 | 0.0287699 / -0.0287699 | 0.0475066 / -0.0475065 | 0.063317 / -0.063317 | 0.0802123 / -0.0802122 | 0 / 0 | 0 / 0 | 0.0210445 / -0.0210446 | 0 / 0 | 0.0288838 / -0.0288838 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_Light_0__1 | 0 / 0 | 0 / 0 | -0.0346933 / 0.0346934 | 0 / 0 | -0.044096 / 0.044096 | -0.0345723 / 0.0345723 | -0.0345722 / 0.0345722 | 0 / 0 | -0.0520569 / 0.0520569 | -0.022126 / 0.022126 | 0 / 0 | -0.0579042 / 0.0579041 | 0 / 0 | -0.0325928 / 0.0325928 | 0 / 0 | -0.0334024 / 0.0334025 | -0.0792376 / 0.0792376 | -0.0752846 / 0.0752846 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | others Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
