NUISANCE_PARAMETERS
gamma_stat_SR4b_HT_all_bin_0  1.00012 +0.0325475 -0.0318486
gamma_stat_SR4b_HT_all_bin_1  1.00027 +0.0119776 -0.0118825
mu_signal  0.0819632 +0.351467 -0.319666
scaling_a  0.42409 +0.107441 -0.106458
scaling_b  0.358627 +0.234297 -0.221659


CORRELATION_MATRIX
182   182
0.00747764   -0.109588   -0.0175463   0.00133789   -0.000462768   -4.28968e-05   0.00483029   -0.00145762   -0.0022735   -0.00558716   -0.0011823   0.00667429   0.0130204   0.0213465   -0.00513652   -0.0102276   -0.0057223   0.00887602   0.00725064   0.00214818   0.0323694   0.00706836   -0.045723   0.00471215   -0.0785421   -0.169855   0.0496282   0.0124829   0.0218746   0.0242282   0.0405468   0.0301846   0.0128179   -0.0352001   -0.0200062   -0.0109626   -0.0064339   0.00416554   -0.0134373   -0.0342435   0.00435348   0.0790148   -0.0145847   0.0116239   0.00110503   0.00205798   0.00509805   -0.000634445   0.000160116   -4.2989e-07   -0.00110974   -8.85863e-05   -0.000644565   -0.00850902   -0.0956978   0.398396   0.00140105   -0.00377761   0.00290565   -0.0184067   0.000191851   -0.000650962   0.00183697   -0.0703639   0.0113815   -0.0616468   -0.124685   -0.00250772   -0.107572   0.00489801   0.0109898   0.000379615   -0.000740841   -0.000351951   -0.000527667   0.00028115   9.4247e-08   1.50387e-06   -0.11686   -2.00148e-05   -0.00611328   -0.00149809   0.0114741   0.00266319   0.00251646   -0.00187248   0.0167053   -0.0857684   0.0241249   -0.00441493   0.00329917   -0.0455644   0.0346456   0.00746672   0.00229982   -0.00328034   0.00231746   0.00623232   0.00815653   0.0188908   -0.0313471   0.0147502   -0.0273942   -0.0224985   -0.0512329   -0.0398975   -0.00176041   0.00672054   0.00870847   -0.00241187   0.00241062   0.00285897   -0.0131906   -0.0078155   0.00785029   0.0323222   -0.0461667   0.00408015   -0.0097277   -3.60862e-05   0.00446991   -0.0031137   0.0133589   0.000541815   -4.46747e-10   1.3234e-06   1.66826e-06   -5.27446e-10   0.0029574   -4.46747e-10   -4.46747e-10   -0.00169274   0.00171651   0.0277907   2.95755e-06   0.000270012   -0.000170082   -4.46747e-10   -0.000179616   -0.0126449   -0.00936228   -7.26386e-06   -0.000101381   5.7583e-10   3.52308e-05   0.000178951   0.000601714   0.000920962   0.0043808   -1.32581e-10   -4.08373e-05   -5.27446e-10   0.000875987   -0.0688662   0.000101194   -0.000253426   -1.32581e-10   0.000166787   0.000112049   0.00334396   -0.000494691   -0.00109184   6.54243e-05   -0.000263988   0.0121632   -0.0641697   0.00115586   0.000212941   0.00329582   0.00934666   0.00122753   0.0280481   0.0151342   -0.054958   0.00330504   -0.0046723   0.000411949   -0.196035   -0.000125002   -0.0383875   0.514778   1   
-0.227124   0.0984116   -0.00430055   0.000493167   0.000978124   -0.000175036   0.00541329   -0.0012505   -0.0025469   -0.00232445   0.00522044   0.00703781   0.0114958   0.0186397   -0.00595453   -0.00447453   0.000137963   0.0167311   0.00428316   -0.00352031   0.00657445   -0.0369684   -0.172005   0.0288673   0.0148971   -0.0568142   -0.0416152   -0.0268996   -0.00460438   0.00402263   0.0179066   -0.00123565   -0.0497138   -0.0106289   -0.00246824   0.005478   0.0162036   0.0341464   0.0291627   0.0103163   0.000332922   0.0545127   -0.0145761   -0.00259524   0.00262325   0.00413926   0.016943   -0.00238877   0.000137334   -2.37819e-06   0.000943538   -3.4635e-05   0.000995849   -0.00708941   -0.0551248   0.315058   0.00149924   -0.00109435   0.00257092   0.0148114   0.000174213   0.00145354   -0.00222091   -0.0234753   0.0248599   -0.037665   -0.207053   -0.00403704   -0.084922   -0.0079378   0.0363394   0.000138693   0.000105771   0.00171755   -0.000334489   5.44639e-05   -8.07704e-08   1.2996e-06   -0.181868   -9.65838e-06   -0.00583003   -0.00232532   -0.0256014   0.0025796   -0.0258877   -0.00261942   0.0347874   -0.0277587   -0.00880814   -0.00150506   -0.00234387   -0.0193125   0.0270982   -0.00232118   9.14242e-06   -0.0060528   0.000971417   -0.00413554   0.00641931   0.00661877   -0.0081275   -0.000187235   -0.0109995   -0.00830863   -0.0536828   -0.00924677   0.00341921   0.00361861   0.00547754   -0.000737947   -0.00318976   0.00425758   -0.0238007   -0.00362799   0.0122508   0.0280224   -0.0615382   -0.00567143   0.0150875   -9.89396e-05   -0.0440464   -0.00194242   -0.0399676   0.0052637   -8.0321e-10   -2.70198e-05   -6.12198e-06   -9.80088e-10   0.00193899   -8.0321e-10   -8.0321e-10   -0.00122239   0.0011679   -0.00924624   -3.28354e-05   1.00352e-05   9.76446e-05   -8.0321e-10   -2.12096e-05   -0.00514595   -0.00725472   -4.7574e-07   -0.000115349   5.65152e-10   4.75943e-05   7.4953e-05   0.000330139   0.000119103   0.0161627   -6.99438e-10   -1.69871e-05   -9.80088e-10   0.00065157   -0.0545365   4.15863e-05   -4.36473e-05   -6.99438e-10   7.37359e-05   3.86686e-05   -0.000184907   0.002562   -0.000953086   2.31677e-05   -0.000159769   0.00793992   -0.0292676   0.000941561   0.00016143   0.00300015   0.0032668   0.000658399   0.032688   0.0155483   -0.095585   0.00151144   0.000638821   0.00272628   -0.110322   0.0260044   -0.0245846   1   0.514778   
