 |       | CR Mat. Conv. | CR Low m_{#gamma^{*}} | CR HF e | CR HF#mu | CR t#bar{t}W^{+} | CR t#bar{t}W^{-} | CR 1b(+) | CR 1b(-) | SR #geq 4b | SR 3b, #\geq 3l | SR 3b, 2l | SR 2b, #\geq 3l | SR 2b, 2l | 
 | HF#mu | 14.5506 pm 1.09029 | 1.93166 pm 0.125554 | 26.3628 pm 1.31583 | 110.932 pm 6.40313 | 63.1919 pm 2.89366 | 69.4019 pm 3.91178 | 93.102 pm 8.99998 | 95.9389 pm 7.02487 | 0.358485 pm 0.162561 | 0.497644 pm 0.0872365 | 6.21859 pm 0.535652 | 0.559298 pm 0.134438 | 23.6985 pm 3.49761 | 
 | light | 3.50756 pm 0.554172 | 1.48524 pm 0.133628 | 0.989332 pm 0.747627 | 0.404496 pm 0.311688 | 2.72136 pm 0.599502 | 0.947577 pm 0.18699 | 15.1276 pm 2.23997 | 9.55671 pm 0.587075 | 0.31874 pm 0.0286032 | 0.0295356 pm 0.00273989 | 1.96573 pm 0.107979 | 0.797274 pm 0.0244841 | 10.3614 pm 0.837435 | 
 | Other fake | 37.1668 pm 2.31467 | 10.3591 pm 0.754987 | 4.36094 pm 0.911669 | 6.13169 pm 1.88005 | 27.2931 pm 1.14579 | 24.0332 pm 1.78661 | 14.1685 pm 0.949759 | 12.0525 pm 1.29313 | 0.873936 pm 0.235703 | 0.411539 pm 0.0273344 | 2.31651 pm 0.527604 | 1.42332 pm 0.490351 | 19.8774 pm 2.25645 | 
 | singleTop | 4.20235 pm 1.28008 | 0.11764 pm 0.0360986 | 5.0426 pm 1.53766 | 9.89153 pm 3.01097 | 19.9881 pm 6.02362 | 12.7166 pm 3.83684 | 19.4946 pm 5.90266 | 14.0187 pm 4.24788 | 0.357209 pm 0.128772 | 0.270995 pm 0.121407 | 2.03257 pm 0.638011 | 1.57196 pm 0.478922 | 9.143 pm 2.81997 | 
 | Diboson | 9.47547 pm 2.02235 | 0.17197 pm 0.0451543 | 11.3378 pm 1.52408 | 18.524 pm 2.22474 | 11.7996 pm 2.7587 | 8.95284 pm 2.1185 | 88.3621 pm 20.4625 | 60.6632 pm 13.7222 | 0.155789 pm 0.0577343 | 0.124347 pm 0.0459885 | 0.928675 pm 0.351753 | 1.25576 pm 0.432169 | 7.39328 pm 2.46738 | 
 | triboson | 0.0693844 pm 0.00324878 | 0.00321776 pm 0.00100549 | 0.31226 pm 0.0222614 | 0.482794 pm 0.0590896 | 0.0881263 pm 0.0153818 | 0.0817432 pm 0.0146291 | 1.36261 pm 0.0933968 | 1.02413 pm 0.0863853 | 0.000858737 pm 0.000129755 | 0.0120682 pm 0.00600111 | 0.00823348 pm 0.00160795 | 0.0441007 pm 0.00364826 | 0.0800034 pm 0.00937488 | 
 | vh | 1e-06 pm 5.00421e-07 | 1e-06 pm 5.01837e-07 | 0.319934 pm 0.17922 | 0.122836 pm 0.263805 | 3e-06 pm 1.50067e-06 | 0.317431 pm 0.459982 | 0.408116 pm 0.330591 | 0.297684 pm 0.729688 | 2e-06 pm 1.0006e-06 | 2e-06 pm 1.00147e-06 | 4e-06 pm 2.00085e-06 | 3e-06 pm 1.50106e-06 | 4e-06 pm 2.00027e-06 | 
 | t#bar{t}W^{+} | 6.2389 pm 0.180623 | 0.13418 pm 0.0113151 | 4.10283 pm 0.299212 | 8.47579 pm 0.603493 | 97.0929 pm 2.68795 |  0 pm 0 | 40.0796 pm 1.5718 |  0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}W^{-} | 3.52775 pm 0.0724395 | 0.0905233 pm 0.0122218 | 2.57144 pm 0.204894 | 4.66214 pm 0.345624 |  0 pm 0 | 52.5738 pm 1.58859 |  0 pm 0 | 21.7765 pm 1.06629 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}Z' | 0.151259 pm 0.00877706 | 0.00582293 pm 0.000566757 | 0 pm 0 | 0 pm 0 | 0.66454 pm 0.0540675 | 0.584642 pm 0.0588539 | 1.85771 pm 0.23077 | 1.78049 pm 0.216416 | 18.852 pm 0.769258 | 5.16657 pm 0.308325 | 16.9544 pm 0.847355 | 2.64034 pm 0.236361 | 9.45445 pm 0.716652 | 
 | Total | 309.396 pm 8.85859 | 73.0353 pm 3.88391 | 121.033 pm 4.8833 | 190.61 pm 10.955 | 369.519 pm 16.5778 | 311.849 pm 14.5514 | 493.545 pm 35.5334 | 432.278 pm 27.3856 | 42.9073 pm 3.57187 | 17.2972 pm 1.44672 | 91.7451 pm 5.73612 | 40.3793 pm 3.56645 | 290.216 pm 18.0051 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
