 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | HFe | 10.5514 pm 3.35232 | 4.02363 pm 1.28867 | 36.916 pm 11.4192 | 12.3162 pm 3.9434 | 16.901 pm 5.35567 | 17.5667 pm 5.57128 | 49.0946 pm 15.5458 | 49.6144 pm 15.6986 | 0.101452 pm 0.183028 | 0.388673 pm 0.123855 | 3.23008 pm 1.02483 | 0.428386 pm 0.157591 | 11.0488 pm 3.50059 | 
 | HFm | 13.6998 pm 2.093 | 1.81894 pm 0.28617 | 24.8398 pm 3.90528 | 104.433 pm 15.2779 | 59.3961 pm 9.01812 | 65.3259 pm 9.929 | 87.7757 pm 13.3223 | 90.201 pm 13.7001 | 0.348572 pm 0.15425 | 0.466888 pm 0.0921055 | 5.85543 pm 0.89809 | 0.529777 pm 0.142918 | 22.3357 pm 3.39535 | 
 | light | 3.50848 pm 0.0719617 | 1.48582 pm 0.0636986 | 0.957979 pm 0.610669 | 0.419521 pm 0.303177 | 2.71701 pm 0.0320999 | 0.947597 pm 0.0158207 | 15.1258 pm 0.166021 | 9.54645 pm 0.119685 | 0.321117 pm 0.00782437 | 0.0294544 pm 0.0013605 | 1.9631 pm 0.0386196 | 0.79652 pm 0.0157235 | 10.3697 pm 0.0941808 | 
 | otherfake | 37.1765 pm 0.76252 | 10.3632 pm 0.444278 | 4.36872 pm 0.755101 | 6.12385 pm 0.14698 | 27.2578 pm 0.312763 | 24.0387 pm 0.340181 | 14.2164 pm 0.168274 | 12.0563 pm 0.148679 | 0.879513 pm 0.0189229 | 0.410671 pm 0.0166159 | 2.28958 pm 0.263607 | 1.42245 pm 0.147383 | 19.9018 pm 0.207161 | 
 | singleTop | 3.94035 pm 1.23301 | 0.11032 pm 0.034767 | 4.73069 pm 1.48318 | 9.24973 pm 2.8932 | 18.7318 pm 5.85248 | 11.9316 pm 3.72945 | 18.2698 pm 5.70651 | 13.1261 pm 4.101 | 0.341547 pm 0.143132 | 0.25374 pm 0.100017 | 1.89064 pm 0.639419 | 1.4721 pm 0.460277 | 8.57985 pm 2.67951 | 
 | Diboson | 8.26064 pm 2.13914 | 0.156787 pm 0.0595435 | 11.1419 pm 1.76915 | 18.1438 pm 2.07803 | 10.0882 pm 2.95767 | 7.67219 pm 2.19113 | 71.9669 pm 20.2916 | 49.6431 pm 13.781 | 0.109375 pm 0.0636605 | 0.0865723 pm 0.0473986 | 0.646991 pm 0.336879 | 0.861033 pm 0.449065 | 5.06933 pm 2.49205 | 
 | triboson | 0.0694025 pm 0.0014235 | 0.00321902 pm 0.000138002 | 0.312419 pm 0.0116097 | 0.480933 pm 0.0123278 | 0.0880928 pm 0.000978996 | 0.0818151 pm 0.00114951 | 1.36324 pm 0.0149728 | 1.0231 pm 0.0126497 | 0.000864781 pm 2.00294e-05 | 0.0122176 pm 0.00530162 | 0.00820951 pm 0.000862816 | 0.0440222 pm 0.000843728 | 0.080066 pm 0.00068837 | 
 | vh | 1.01393e-06 pm 5.00988e-07 | 1.01406e-06 pm 5.02516e-07 | 0.323709 pm 0.177535 | 0.120122 pm 0.24683 | 3.03198e-06 pm 1.49752e-06 | 0.275967 pm 0.414722 | 0.363886 pm 0.330692 | 0.3271 pm 0.780856 | 2.04093e-06 pm 1.0084e-06 | 2.02259e-06 pm 1.00089e-06 | 4.04236e-06 pm 1.9966e-06 | 3.03738e-06 pm 1.50054e-06 | 4.05784e-06 pm 2.00357e-06 | 
 | t#bar{t}W^{+} | 12.1358 pm 1.58418 | 0.227672 pm 0.0310619 | 4.93333 pm 0.730816 | 10.1716 pm 1.49558 | 204.465 pm 25.9002 |  0 pm 0 | 136.498 pm 17.6093 |  0 pm 0 | 2.83852 pm 0.948853 | 1.14182 pm 0.236568 | 16.7553 pm 3.16177 | 5.03732 pm 0.933256 | 80.1275 pm 14.1782 | 
 | t#bar{t}W^{-} | 6.56006 pm 1.48649 | 0.143255 pm 0.0328227 | 2.83212 pm 0.662662 | 5.12327 pm 1.20023 |  0 pm 0 | 101.499 pm 22.5847 |  0 pm 0 | 67.6294 pm 14.8768 | 1.07689 pm 0.376743 | 0.439365 pm 0.143457 | 8.74249 pm 2.19148 | 2.58602 pm 0.639462 | 43.4923 pm 10.4145 | 
 | ttZp2500 | 0.0831083 pm 0.0483013 | 0.00210553 pm 0.00129925 | 0 pm 0 | 0.00156432 pm 0.00125235 | 0.337955 pm 0.196351 | 0.350716 pm 0.203772 | 0.896434 pm 0.523576 | 0.843231 pm 0.491075 | 8.92733 pm 5.17829 | 2.36616 pm 1.37363 | 7.92443 pm 4.59651 | 1.257 pm 0.730301 | 4.39975 pm 2.55624 | 
 | Total | 308.371 pm 17.3754 | 69.8086 pm 8.32294 | 103.085 pm 9.34774 | 178.594 pm 12.6505 | 454.757 pm 18.9385 | 340.355 pm 16.2766 | 536.466 pm 17.3988 | 429.823 pm 14.2263 | 39.4183 pm 4.56895 | 16.0037 pm 1.44738 | 106.406 pm 5.29412 | 44.426 pm 2.67739 | 393.882 pm 15.9382 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
