 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | ttZp2500 |
 | gamma_stat_SR3b2l_HT_all_bin_1 | 0.00991777 / -0.0096976 | 0.0100118 / -0.00978957 | 0.00963625 / -0.00942233 | 0.00960234 / -0.00938917 | 0.00846272 / -0.00827485 | 0.0067737 / -0.00662333 | 0.00903573 / -0.00883514 | 0.00842734 / -0.00824025 | 0.00780142 / -0.00762823 | 0.00663407 / -0.00648679 | 0.00835085 / -0.00816546 | 0.00457265 / -0.00447114 | 0.00503924 / -0.00492737 | 0.00552436 / -0.00540172 | 0.0127655 / -0.0124821 | 0.00928699 / -0.00908082 | 0.00679747 / -0.00664656 | 0.0048561 / -0.00474829 | 0.00846237 / -0.00827451 | 0.00920538 / -0.00900103 | 0.00983023 / -0.009612 | 0.0116426 / -0.0113841 | 0.00586385 / -0.00573367 | 0.00391274 / -0.00382587 | 0.00846626 / -0.00827831 | 0.00932627 / -0.00911923 | 0.00890703 / -0.0087093 | 0.00705444 / -0.00689783 | 0.0078138 / -0.00764034 | 0.00548361 / -0.00536188 |
 | gamma_stat_SR3b2l_HT_all_bin_2 | 0.00854786 / -0.00837334 | 0.00723388 / -0.0070862 | 0.00627798 / -0.00614981 | 0.00621092 / -0.00608412 | 0.00512483 / -0.00502021 | 0.0073236 / -0.00717408 | 0.00528646 / -0.00517853 | 0.0064657 / -0.0063337 | 0.00606529 / -0.00594146 | 0.00553435 / -0.00542137 | 0.00532866 / -0.00521987 | 0.0042721 / -0.00418488 | 0.00653428 / -0.00640088 | 0.0127438 / -0.0124836 | 0.00313872 / -0.00307464 | 0.00623762 / -0.00611027 | 0.00838483 / -0.00821365 | 0.00332749 / -0.00325955 | 0.00780737 / -0.00764797 | 0.00455455 / -0.00446157 | 0.00824189 / -0.00807362 | 0.0071214 / -0.00697601 | 0.00887097 / -0.00868986 | 0.0140713 / -0.013784 | 0.00376176 / -0.00368496 | 0.00533523 / -0.0052263 | 0.00935641 / -0.00916539 | 0.0100739 / -0.00986826 | 0.00670297 / -0.00656612 | 0.00827089 / -0.00810203 |
 | gamma_stat_SR3b2l_HT_all_bin_3 | 0.00612361 / -0.00598616 | 0.00435323 / -0.00425553 | 0.00658018 / -0.00643249 | 0.00396184 / -0.00387291 | 0.0026825 / -0.00262229 | 0.00933117 / -0.00912174 | 0.00294635 / -0.00288022 | 0.00515217 / -0.00503653 | 0.0061213 / -0.00598391 | 0.00338619 / -0.00331019 | 0.00120032 / -0.00117338 | 0.00208586 / -0.00203905 | 0.00567198 / -0.00554467 | 0.00398458 / -0.00389515 | 0.00595883 / -0.00582508 | 0.00830389 / -0.00811751 | 0.0057224 / -0.00559396 | 0.0145793 / -0.0142521 | 0.00847786 / -0.00828758 | 0.00330613 / -0.00323193 | 0.00378149 / -0.00369662 | 0.00604462 / -0.00590895 | 0.0114991 / -0.011241 | 0.0130999 / -0.0128059 | 0.00296626 / -0.00289969 | 0.00616118 / -0.00602289 | 0.00472634 / -0.00462026 | 0.00900819 / -0.008806 | 0.0165919 / -0.0162195 | 0.0166993 / -0.0163245 |
 | NF_{Mat. Conv.} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.318853 / -0.286911 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{Low m_{#gamma^{*}}} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.210024 / -0.191954 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF e} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.32473 / -0.308351 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{HF m} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.155152 / -0.14794 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | a0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.334417 / -0.290223 | 0.605705 / -0.436163 | 0.955892 / -0.560528 | 1.40192 / -0.661887 | 2.35591 / -0.772774 | 0.334417 / -0.290223 | 0.605705 / -0.436163 | 0.955892 / -0.560528 | 1.40192 / -0.661887 | 2.35591 / -0.772774 | 0 / 0 |
 | a1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.562158 / -0.42567 | 0.802077 / -0.510351 | 1.02475 / -0.568436 | 1.23404 / -0.611261 | 1.52888 / -0.657506 | 0.562158 / -0.42567 | 0.802077 / -0.510351 | 1.02475 / -0.568436 | 1.23404 / -0.611261 | 1.52888 / -0.657506 | 0 / 0 |
 | NF_{t#bar{t}W^{+}@4j} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.144453 / -0.14129 | 0.144453 / -0.14129 | 0.144453 / -0.14129 | 0.144453 / -0.14129 | 0.144453 / -0.14129 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | NF_{t#bar{t}W^{-}@4j} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2332 / -0.228398 | 0.2332 / -0.228398 | 0.2332 / -0.228398 | 0.2332 / -0.228398 | 0.2332 / -0.228398 | 0 / 0 |
 | mu_signal | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.595399 / -0.574215 |
