 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_5 | 1.3701e-05 / -1.35817e-05 | 0 / 0 | -5.12027e-06 / 5.08133e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 1.10393e-06 / -1.11215e-06 | 1.84305e-05 / -1.86964e-05 | 0.0215093 / 0.000676134 | -0.0174935 / 0.0299784 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -5.59753e-07 / 5.57455e-07 | -0.0353365 / -0.998018 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000106438 / -0.000104963 |
 | JET_JER_EffectiveNP_5 | -2.73756e-05 / 2.71748e-05 | 0 / 0 | 1.82553e-05 / -1.81223e-05 | -1.15066e-06 / 1.13857e-06 | 3.42264e-06 / -3.39337e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0208845 / 0.0141111 | 0 / 0 | 0 / 0 | -6.15093e-07 / 6.12304e-07 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 3.55404e-05 / -3.56641e-05 | 0 / 0 | 4.65034e-06 / -4.62921e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 4.7442e-06 / -4.72262e-06 | 2.69809e-05 / -2.73304e-05 | 4.44089e-16 / 0 | -4.44089e-16 / -1.11022e-16 | 0 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | 2.45935e-06 / -2.44362e-06 | 0 / 2.22045e-16 | -0.00821332 / -0.999889 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000100992 / -0.000100282 |
 | JET_JER_EffectiveNP_6 | -1.13286e-05 / 1.13997e-05 | 0 / 0 | 1.05571e-05 / -1.05709e-05 | 0 / 0 | 7.27806e-06 / -7.35594e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -2.41486e-06 / 2.42314e-06 | -5.644e-06 / 5.71116e-06 | 2.22045e-16 / 2.22045e-16 | -5.55112e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -1.72343e-06 / 1.744e-06 | -8.51905e-07 / 8.5657e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 |
 | JET_JER_EffectiveNP_8 | -1.22145e-05 / 8.00626e-06 | 1.03847e-05 / -6.82256e-06 | 6.7964e-08 / -4.47441e-08 | 0 / 0 | -6.5578e-06 / 4.31006e-06 | 0.0125442 / -0.0200956 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -2.48671e-05 / 1.64527e-05 | 2.22045e-16 / 2.22045e-16 | -4.44089e-16 / -5.55112e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / 2.22045e-16 | -1.15106e-06 / 7.58552e-07 | 2.22045e-16 / 0 | 2.27604 / -0.999999 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | -2.07673e-05 / 2.06365e-05 | 0 / 0 | -1.15582e-05 / 1.16338e-05 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | -1.96832e-06 / 1.97857e-06 | -2.19766e-05 / 2.18271e-05 | 4.44089e-16 / 2.22045e-16 | -4.44089e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.999916 / -0.00681904 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 |
 | JET_JER_EffectiveNP_9 | 5.05781e-07 / -5.04118e-07 | 0 / 0 | -8.44638e-06 / 8.40387e-06 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 3.71575e-06 / -3.68954e-06 | 1.72575e-05 / -1.70295e-05 | 2.22045e-16 / 0 | -4.44089e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 6.46095e-07 / -6.43052e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 2.06171e-05 / -2.07322e-05 | 0 / 0 | -2.55882e-06 / 2.55416e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 6.66134e-16 / 0 | -1.11022e-16 / -5.55112e-16 | 4.44089e-16 / 0 | 2.22045e-16 / 0 | -6.13145e-07 / 6.10635e-07 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 |
 | JET_JER_EffectiveNP_1 | -2.92405e-05 / 2.93005e-05 | -2.59215e-06 / 2.61393e-06 | 8.28476e-06 / -8.32183e-06 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / -4.44089e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 1.35733e-05 / -1.34921e-05 | 0 / 0 | -8.66486e-06 / 8.66212e-06 | 0 / 0 | 0 / 0 | -4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 6.44921e-06 / -6.42683e-06 | 0 / 4.44089e-16 | -1.11022e-16 / 2.22045e-16 | -1.11022e-16 / 2.22045e-16 | 0 / -2.22045e-16 | 3.77948e-07 / -3.77376e-07 | 0 / 0 | -0.0220977 / -0.999727 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 |
