 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_6 | -0.258951 / -0.000859443 | 0.0422454 / 0.0161336 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0736116 / 0.0488859 | 0 / 0 | 0 / 0 | -0.0440497 / -0.00013602 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.127716 / 0.0102028 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.140117 / 0.0164024 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.245377 / 0.00881172 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_7 | -0.0729793 / -0.0727756 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0.0455114 / 0.0452172 | 0 / 0 | 0 / 0 | -0.0863356 / 7.36066e-05 | 0.0387993 / 0.000390729 | 0 / 0 | 0 / 0 | -0.00170604 / 0.0393836 | -0.0347817 / -0.00235981 | 0 / 0 | 0 / -2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.216808 / 0.0504769 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_7 | -0.186461 / -0.114465 | 0.020088 / -0.00487765 | 0 / 0 | 0 / 0 | -5.55333e-06 / 5.52118e-06 | -0.00647696 / 0.0435851 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000210256 / 0.0367482 | 0 / 0 | 0 / 0 | -0.126079 / -0.000707487 | -0.000648465 / -0.0371746 | 0 / 0 | -0.0196001 / 0.000740536 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501616 / -0.140378 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0109191 / -0.244779 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_8 | 0.21036 / -0.177464 | -0.041771 / 0.0436172 | -0.155625 / 0.122655 | 0 / 0 | 0 / 0 | 0.077564 / -0.0377345 | 0 / 0 | 0 / 0 | -0.0439675 / -0.00439769 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0.00390551 / 0.136211 | 0 / 0 | 0 / 0 | 0.0200328 / -0.0164239 | 0 / -1.11022e-16 | -1.66086e-05 / 2.67486e-05 | 0 / 0 | 0 / 0 | 0.0791344 / 0.0486896 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00241781 / -0.0858972 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_9 | -0.2196 / -0.00087976 | -0.039824 / 0.0105541 | 0 / 0 | 0.021096 / -0.0269191 | 0 / 0 | 0.0992742 / 0.0375929 | 0 / 0 | 0 / 0 | -0.0848603 / -0.000324764 | 0.0378032 / 0.000139248 | 0 / 0 | 0 / 0 | -0.140869 / -0.000549174 | -0.0234244 / -0.00244118 | 0 / 0 | 0.0211961 / 0.0121169 | 0 / 0 | 0 / 0 | 0.028364 / 0.000104776 | 0 / 0 | 0.12345 / 0.0716643 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.102361 / -0.000393981 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_9 | -0.00306873 / -0.300078 | -0.0036887 / 0.0304634 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000333232 / 0.0363709 | 0 / 0 | 0 / 0 | -0.000402931 / -0.0429457 | 0.000331788 / 0.0362116 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00120428 / -0.0335112 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0705365 / -0.139069 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00714687 / -0.242916 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | 0.000717767 / -0.221328 | 0 / -2.22045e-16 | 0.000520188 / -0.163724 | -0.0268765 / 0.00124334 | 0 / 0 | 0.0840297 / 0.000496622 | 0 / 0 | 0 / 0 | -0.0409213 / -0.0440101 | 0.000510366 / 0.0375692 | 0 / 2.22045e-16 | 0 / 0 | -8.2588e-05 / 0.0276705 | 0.00169698 / -0.0279279 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -8.53698e-05 / 0.0286108 | 0 / 0 | 0.0494958 / 0.102117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000324784 / 0.111587 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.144336 / -0.114872 | -0.00427799 / 0.0220185 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0422719 / -0.0475196 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0365662 / 6.13185e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0377185 / 0.00295421 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0717889 / 0.04984 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.24499 / 0.00907665 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.146598 / -0.0689533 | 0 / 0 | -0.166673 / 0.0033105 | 0.000301143 / 0.020815 | 0 / 0 | 0.0899894 / 0.0380382 | 0 / 0 | 0 / 0 | -0.0449298 / -0.0404837 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0297375 / -0.00207478 | -0.030623 / 0.00432821 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0.000343249 / 0.02819 | 0 / 0 | 0.105137 / 0.0688865 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.111877 / 0.0432348 | 0.0453335 / -0.00477225 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00292347 / 0.0385988 | 0 / 0 | 0 / 0 | 0.00108683 / -0.043641 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00387253 / -0.0379429 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0488237 / -0.0704697 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000452141 / -0.241394 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
