 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_EffectiveNP_Modelling1 | 1.95884e-05 / -1.85281e-05 | 0 / 0 | 1.63162e-05 / -1.56052e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.00385734 / -0.0327048 | 0.0215566 / -0.013973 | 9.60957e-07 / -9.41143e-07 | 2.22045e-16 / 2.22045e-16 | 0.025023 / -0.0136414 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | -5.48527e-05 / 6.18363e-05 | 0 / 0 | -6.98363e-06 / 7.78325e-06 | -4.0516e-05 / 4.46529e-05 | 0 / 0 | -0.0216417 / 0.00395349 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0328326 / 0.0125914 | -0.0224113 / 0.0303807 | -0.0206965 / 0.0311736 | 2.22045e-16 / 2.22045e-16 | -0.0123901 / 0.0391 | 0 / 0 | 2.22045e-16 / 0 | -0.024546 / 0.0216261 | -0.0240128 / 0.0159009 | -0.999997 / 0.357622 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 5.09355e-05 / -7.40819e-05 | 6.60449e-05 / -9.68043e-05 | 2.27316e-05 / -3.38035e-05 | 0 / 0 | 3.97512e-06 / -5.9933e-06 | -0.00431543 / -0.0322746 | 5.58708e-05 / -8.44199e-05 | 0 / 0 | 0.0210609 / -0.00361226 | -0.0208493 / -0.0255424 | 0.0286945 / -0.0388566 | 0.0246311 / -0.03409 | 2.22045e-16 / 2.22045e-16 | 0.0319083 / 0.0132486 | 2.22045e-16 / -4.44089e-16 | 2.22045e-16 / -2.22045e-16 | 0.0269006 / -0.0477592 | 0.023976 / -0.0497919 | -0.058738 / -0.970318 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00257185 / 0.0352508 | -0.0092818 / 0.0242536 |
 | JET_JERUnc_Noise_PreRec | 6.77045e-05 / -6.07255e-05 | 0.000125347 / -0.00011245 | 1.33275e-05 / -1.1964e-05 | 0 / 0 | 2.33845e-06 / -2.09944e-06 | 0.0218662 / -0.0215667 | 5.12189e-05 / -4.59688e-05 | 0 / 0 | 0 / 2.22045e-16 | 0.0467373 / -0.0462819 | -3.87506e-06 / 3.47591e-06 | 1.22457e-05 / -1.1e-05 | -2.22045e-16 / 2.22045e-16 | -0.0274261 / 0.0298087 | -1.11022e-16 / 0 | 0 / -2.22045e-16 | 6.40081e-08 / -5.7536e-08 | -2.22045e-16 / 2.22045e-16 | 47.6787 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0455109 / 0.0477579 | -0.0230305 / 0.0235719 | -0.0242994 / 0.0251081 |
 | JET_JER_EffectiveNP_1 | -1.00079e-06 / 1.53068e-06 | -2.93803e-05 / 4.50865e-05 | -5.83056e-06 / 8.92977e-06 | 0 / 0 | 2.19958e-06 / -3.36954e-06 | -0.0229404 / 0.0198181 | -1.42738e-05 / 2.18693e-05 | 0 / 0 | 0 / 4.44089e-16 | 2.22045e-16 / 0 | -1.11022e-16 / 0 | -0.0231242 / 0.0199857 | 4.44089e-16 / 0 | -1.11022e-16 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | -3.66277e-06 / 5.60489e-06 | -1.14375e-07 / 1.74767e-07 | -1 / 19.4939 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 2.82748e-05 / -2.78107e-05 | 6.76939e-05 / -6.65256e-05 | 5.40002e-07 / -5.32095e-07 | 3.11425e-05 / -3.05303e-05 | 1.86658e-06 / -1.82709e-06 | -0.000381866 / -0.0342136 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 1.22114e-06 / -1.19045e-06 | -6.368e-06 / 6.23251e-06 | 0 / 2.22045e-16 | 0.000276 / 0.0251591 | 2.22045e-16 / 0 | 0 / 0 | -1.85365e-06 / 1.83585e-06 | 3.33155e-07 / -3.30991e-07 | -0.018669 / -0.996071 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 3.69915e-05 / -3.24277e-05 | 1.0022e-05 / -8.81248e-06 | 1.27482e-05 / -1.13494e-05 | 2.70821e-05 / -2.38646e-05 | 1.39089e-07 / -1.22256e-07 | -0.00144283 / -0.023069 | 0 / 0 | 0 / 0 | 0.00287093 / 0.0466806 | 2.22045e-16 / 0 | 4.66784e-09 / -4.05349e-09 | -5.63596e-06 / 4.9622e-06 | -0.00109587 / -0.0175453 | 0.00119853 / 0.0193611 | 0 / 0 | 0 / 2.22045e-16 | -4.06052e-06 / 3.61119e-06 | 1.58629e-07 / -1.41606e-07 | -0.0758521 / -0.887537 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00150184 / 0.0242896 | 0.00213633 / 0.0346369 | 5.65803e-05 / -4.91784e-05 |
 | JET_JER_EffectiveNP_3 | -6.39097e-05 / 6.52597e-05 | -7.11428e-05 / 7.24103e-05 | -1.00574e-05 / 1.00767e-05 | 0 / 0 | -2.7623e-07 / 2.81016e-07 | -0.023188 / -0.00161483 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | -4.59767e-08 / 4.71782e-08 | 3.22756e-06 / -3.27767e-06 | 2.22045e-16 / 2.22045e-16 | 0.0280927 / 0.000348633 | 0 / 0 | 0 / 0 | 4.03158e-06 / -4.06772e-06 | 3.42814e-09 / -3.46821e-09 | -0.997354 / -0.018917 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0239148 / 0.000291977 | 0.0391213 / 0.000168467 | -4.1331e-05 / 4.23694e-05 |
 | JET_JER_EffectiveNP_4 | 3.25643e-05 / -2.637e-05 | 4.61031e-05 / -3.73902e-05 | 4.54657e-06 / -3.68821e-06 | 1.778e-05 / -1.43995e-05 | -2.67756e-07 / 2.16944e-07 | 0.0229151 / -0.0234131 | 3.07474e-05 / -2.49354e-05 | 0 / 0 | 0 / 0 | 0.0346242 / -0.0381769 | 0 / 0 | -9.78981e-06 / 7.92895e-06 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / 0 | -3.33067e-16 / 2.22045e-16 | -1.19299e-06 / 9.68415e-07 | 1.81603e-07 / -1.47348e-07 | -0.371957 / -0.0247332 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0356925 / 0.038079 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | -7.74349e-05 / 8.55985e-05 | -5.8284e-05 / 6.44673e-05 | -3.37481e-06 / 3.71823e-06 | -1.18028e-05 / 1.3163e-05 | -1.81204e-06 / 2.00317e-06 | -0.0252905 / -0.000805109 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 1.75198e-05 / -1.92686e-05 | 0 / 4.44089e-16 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 5.48673e-06 / -6.0266e-06 | -2.22045e-16 / 0 | -0.926032 / -0.0682179 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0179669 / 0.000880727 | 0.0377395 / 0.00113379 | -6.20118e-05 / 6.90189e-05 |
 | JET_JER_EffectiveNP_5 | 1.36835e-05 / -1.35646e-05 | 0 / 0 | -5.11399e-06 / 5.07519e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 1.10273e-06 / -1.11096e-06 | 1.84036e-05 / -1.86695e-05 | 0.021506 / 0.000678705 | -0.0174933 / 0.0299783 | 0 / -1.11022e-16 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | -5.61871e-07 / 5.59574e-07 | -0.0351892 / -0.998029 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | -2.73433e-05 / 2.71428e-05 | 0 / 0 | 1.82356e-05 / -1.81028e-05 | -1.14949e-06 / 1.13741e-06 | 3.41861e-06 / -3.38938e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0208878 / 0.0141101 | 0 / -1.11022e-16 | 0 / 0 | -6.14374e-07 / 6.11589e-07 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000129261 / -0.00012812 |
 | JET_JER_EffectiveNP_6 | 3.54975e-05 / -3.56212e-05 | 0 / 0 | 4.64496e-06 / -4.62388e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 4.74061e-06 / -4.71907e-06 | 2.69436e-05 / -2.72928e-05 | 4.44089e-16 / 0 | -3.33067e-16 / -1.11022e-16 | -1.11022e-16 / -3.33067e-16 | -2.22045e-16 / -2.22045e-16 | 2.4561e-06 / -2.4404e-06 | 0 / 2.22045e-16 | -0.00813438 / -0.99989 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | -1.13148e-05 / 1.13856e-05 | 0 / 0 | 1.05454e-05 / -1.0559e-05 | 0 / 0 | 7.26907e-06 / -7.34677e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -2.4125e-06 / 2.42074e-06 | -5.6364e-06 / 5.70341e-06 | 2.22045e-16 / 2.22045e-16 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | -1.72122e-06 / 1.74174e-06 | -8.52469e-07 / 8.57128e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 8.64833e-05 / -8.7341e-05 |
 | JET_JER_EffectiveNP_8 | -1.22021e-05 / 7.9961e-06 | 1.03741e-05 / -6.81381e-06 | 6.79096e-08 / -4.46967e-08 | 0 / 0 | -6.55175e-06 / 4.30497e-06 | 0.0125558 / -0.0200961 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -2.48414e-05 / 1.64314e-05 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -4.44089e-16 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | -1.15012e-06 / 7.57732e-07 | 2.22045e-16 / 0 | 2.28298 / -0.999999 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | -2.0741e-05 / 2.06103e-05 | 0 / 0 | -1.15445e-05 / 1.162e-05 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | -1.96626e-06 / 1.97649e-06 | -2.19457e-05 / 2.17963e-05 | 4.44089e-16 / 2.22045e-16 | -3.33067e-16 / -1.11022e-16 | 0 / -1.11022e-16 | 4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.999917 / -0.00675667 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 5.0475e-07 / -5.03099e-07 | 0 / 0 | -8.43712e-06 / 8.39479e-06 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 3.71307e-06 / -3.68694e-06 | 1.72345e-05 / -1.70071e-05 | 2.22045e-16 / 0 | -3.33067e-16 / -1.11022e-16 | 0 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 6.46533e-07 / -6.43499e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -8.00234e-05 / 7.97057e-05 |
 | JET_JER_EffectiveNP_1 | 2.05917e-05 / -2.07068e-05 | 0 / 0 | -2.5558e-06 / 2.55115e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 6.66134e-16 / 2.22045e-16 | -1.11022e-16 / -4.44089e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | -6.12409e-07 / 6.09904e-07 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | -2.92038e-05 / 2.92636e-05 | -2.58884e-06 / 2.61057e-06 | 8.27543e-06 / -8.31242e-06 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 5.42985e-05 / -5.43065e-05 |
 | JET_JER_EffectiveNP_1 | 1.35558e-05 / -1.34747e-05 | 0 / 0 | -8.65506e-06 / 8.65233e-06 | 0 / 0 | 0 / 0 | -4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 6.4404e-06 / -6.41806e-06 | 0 / 4.44089e-16 | -1.11022e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -2.22045e-16 | 3.77512e-07 / -3.76942e-07 | 0 / 0 | -0.0221551 / -0.999726 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 4.54334e-05 / -4.57068e-05 | 1.32016e-05 / -1.31546e-05 | -3.92978e-06 / 3.93682e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -8.75776e-06 / 8.73689e-06 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -5.70989e-06 / 5.71392e-06 |
 | JET_JER_EffectiveNP_1 | 1.99171e-05 / -1.9753e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 9.30785e-06 / -9.17774e-06 | 0 / 2.22045e-16 | -0.000278738 / -0.0235098 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 5.95102e-07 / -5.9263e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 2.13155e-05 / -2.01195e-05 | 0 / 0 | 1.51171e-05 / -1.44284e-05 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00433785 / -0.0338544 | 0.0215037 / -0.0114119 | 3.35298e-06 / -3.27544e-06 | 4.44089e-16 / 0 | 0.0373117 / -0.0129639 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -1.01728e-06 / 9.85515e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 6.99736e-05 / -0.000108454 | 8.76015e-05 / -0.000137888 | 3.44418e-05 / -5.4927e-05 | 0.0186369 / -0.0293434 | 0.0235942 / -0.0322863 | 0.0222514 / -0.0558517 | 0.0251095 / -0.040117 | 0 / 0 | 0.0635422 / -0.00216203 | -0.00275007 / -0.105235 | 0.0345615 / -0.0566706 | 0.0395511 / -0.0599175 | 2.22045e-16 / 2.22045e-16 | 0.0489936 / -0.0698957 | 0.0323217 / -0.0211666 | 0.0327443 / -0.0368679 | 0.0241725 / -0.0447134 | 0.0150898 / -0.0400374 | -0.116291 / -0.999998 | 0.0287312 / -0.0378174 | 0.0281026 / -0.0351869 | 0.0208618 / -0.0117657 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000122791 / -0.000188284 |
 | JET_NNJvtEfficiency | -0.000176314 / 0.000180309 | -8.44882e-05 / 8.6804e-05 | -6.08317e-05 / 6.29575e-05 | -5.17707e-05 / 5.3411e-05 | -3.24252e-05 / 3.35449e-05 | -4.47436e-05 / 4.62239e-05 | -6.73315e-05 / 6.96345e-05 | 0 / 0 | -1.14341e-05 / 1.19985e-05 | -6.0893e-05 / 6.36093e-05 | -2.66691e-05 / 2.77906e-05 | -3.28414e-05 / 3.42151e-05 | -3.15669e-05 / 3.30242e-05 | 0 / 0 | 1.3481e-05 / -1.39445e-05 | -3.32718e-05 / 3.44467e-05 | -8.89551e-06 / 9.32286e-06 | -1.42704e-05 / 1.49227e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0221717 / -0.0248607 | 0.0275281 / -0.0294869 | 0.0391944 / -0.0409727 | -0.000182982 / 0.000187729 |
 | JET_Pileup_OffsetMu | -1.56657e-05 / 1.55171e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -1.11022e-16 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 3.38155e-05 / -3.22128e-05 | 0 / 0 | 1.92018e-05 / -1.85419e-05 | 0 / 0 | -3.07144e-06 / 3.00681e-06 | 0.00439863 / -0.0378102 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0.0259281 / -0.0116467 | 9.24329e-06 / -9.17874e-06 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / -3.33067e-16 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 0.0129079 / -0.0238526 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 5.87764e-05 / -8.72377e-05 | 5.63356e-05 / -8.4169e-05 | 2.9012e-05 / -4.3852e-05 | 0 / 0 | 4.90216e-08 / -7.50014e-08 | -0.0031623 / -0.0203107 | 4.14683e-05 / -6.35022e-05 | 0 / 0 | 0.0206735 / -0.00642543 | -0.0113324 / -0.0286678 | 0.0249367 / -0.033844 | 1.67908e-05 / -2.57556e-05 | 0 / -2.22045e-16 | 0.030779 / -0.00190952 | 2.22045e-16 / -1.11022e-16 | 0 / -2.22045e-16 | 0.0238722 / -0.0412796 | 0.0219259 / -0.045296 | -0.0414568 / -0.945262 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000155719 / -0.000231681 |
