 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_5 | -0.150045 / -0.0272238 | 0 / 0 | 0 / 0 | -0.0388625 / -0.0283715 | 0 / 0 | 0.011937 / -0.0237242 | 0 / 0 | 0 / 0 | -0.0715637 / -0.00192737 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.22579 / -0.00209781 | 0.0694137 / 0.00314712 | 0 / 0 | 0 / 0 | 8.18901e-05 / -8.01365e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0880991 / 0.0428167 | -0.00389604 / -0.161879 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000591934 / -0.107549 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | -0.0721445 / -0.182164 | 0 / -1.11022e-16 | -0.0543492 / 0.000814539 | 0 / 0 | 0 / 0 | -0.00909783 / -0.023314 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00147301 / -0.0939548 | 0 / 0 | 0 / 0 | 0.00595739 / 0.212707 | -0.0657683 / 0.00323147 | 0 / 0 | 0 / 0 | 4.42518e-05 / -4.40986e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0104775 / -0.0364914 | -0.293744 / 0.00508288 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.95821e-05 / -4.90982e-05 | 0.0765015 / -0.0836967 | 0.00109937 / 0.0887227 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | -0.076066 / 0.112951 | 0 / 0 | 0 / 0 | -0.0237484 / -0.0127669 | 0 / 0 | 0.0416127 / -0.0195957 | 0 / 0 | 0 / 0 | -0.0275488 / -0.0934962 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000930044 / 0.222345 | 0.00572051 / 0.0379017 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00778891 / 0.0219669 | 0 / 0 | 0 / 0 | 0.011004 / 0.0334342 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0.0375686 / -0.191908 | -0.0289073 / 0.000323352 | 0.0557471 / 0.000336144 | 0 / 0 | 0 / 0 | -0.0756487 / 0.00115799 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.221483 / 0.000627192 | -0.0682862 / 0.0443989 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0241244 / -0.0258441 | -0.290845 / -0.00138879 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0213964 / -0.00491661 | 0.0282909 / -0.116602 | 2.16952 / 0.0970495 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | -0.00146318 / 0.0457295 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.095981 / 8.26444e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000177515 / 0.228521 | 0.064796 / -5.30182e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000146325 / -0.166737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | -0.0751972 / 0.0641512 | 0.00666932 / -0.0217444 | 0 / 0 | -0.0137542 / 0.0385601 | 0 / 0 | -0.0125219 / -0.044303 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0.215462 / 0.00109923 | 0.0148663 / -0.0359827 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0248452 / 0.0103511 | -0.162152 / -0.125643 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0677359 / -0.0518199 | 0.309818 / 0.00132745 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0.0350583 / -0.139015 | 0 / 0 | 0 / 0 | -2.87684e-05 / -0.0294479 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -0.0423136 / 0.00670085 | -0.0934886 / 0.0697561 | 0.00705408 / -0.0234425 | 0 / 0 | 0.210197 / -0.124594 | 0.028009 / -0.00297032 | 0 / 0 | -0.00252151 / 0.0192044 | -0.0343555 / 0.0174372 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0273346 / 0.0200383 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | -0.183616 / 0.0423926 | 0.0125791 / -0.0205615 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0.0151887 / -0.0615256 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0421339 / -0.0849379 | -0.0350983 / -0.0029077 | 0 / 0 | -0.0906412 / 0.219645 | -0.00740994 / -0.0220918 | 0 / 0 | 0 / 0 | 1.43313e-05 / -9.42687e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0970395 / -0.150203 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00778739 / -0.052094 | -0.583284 / 2.37779 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0.112924 / -0.0115019 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0368423 / -0.000576129 | 0 / 0 | 0 / 0 | -0.120965 / 0.049968 | 0 / 0 | 0 / 0 | 0 / 0 | 0.222897 / 0.000771695 | 0.0379632 / 0.01364 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0229045 / 0.000410179 | 0 / 0 | 0 / 0 | 0.0553091 / 0.00771903 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0.0548163 / 0.000298192 | 0.0130196 / -0.0304115 | -0.000504221 / -0.0536874 | -0.00586483 / 0.0239065 | 0 / 0 | 0.0195077 / -0.0538302 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0976413 / 0.00593037 | 0 / 0 | 0 / 0 | 0.00190111 / 0.218809 | -0.00972545 / -0.0347105 | 0 / 0 | 0 / 0 | 3.82177e-05 / -3.85288e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0245269 / 0.0109424 | -0.00158633 / -0.163093 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0949688 / 0.0289298 | 0.319767 / -0.00307994 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0.0437766 / 0.0363892 | 0 / 0 | 0 / 0 | -0.0362714 / -0.00267779 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -0.0267318 / -0.0946673 | 0 / 0 | 0 / 0 | 0 / 0 | 0.223654 / 0.000622976 | 0.0270226 / 0.0114416 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00378056 / 0.0288571 | 0 / 0 | 0 / 0 | 0.0129468 / 0.110679 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00852655 / -0.067235 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
