 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 9.16521e-05 / -7.30724e-05 | 0 / 0 | 5.92666e-05 / -4.80236e-05 | 4.02585e-05 / -3.30208e-05 | 0 / 0 | 6.80206e-05 / -5.52024e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 5.97184e-06 / -4.93677e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -3.0878e-07 / 2.5588e-07 | -4.57296e-07 / 3.80365e-07 | 0.0247635 / -0.0370955 | 0.0608773 / -0.0389102 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0398253 / 0.041489 | -0.066655 / 0.0562998 | -0.113425 / 0.132928 | -0.105004 / 0.227485 | 0 / 0 | -0.0233943 / 0.0188614 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538582 / -0.50164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.0273776 / 0.0149139 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.0455729 / 0.0251374 | 0.0239631 / -0.0126141 | 0 / -2.22045e-16 | 4.02338e-06 / -6.6637e-06 | -0.106524 / 0.0613463 | 0 / 0 | 1.01055e-08 / -1.6351e-08 | 0 / 0 | 8.53275e-08 / -1.38443e-07 | 0.0543675 / -0.0280608 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0391881 / -0.0204249 | -0.0428461 / 0.023589 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.000943696 / -0.0151178 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00294336 / -0.0467861 | 0 / 0 | 0 / 0 | -2.22045e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 2.55857e-07 / -2.261e-07 | -0.00111599 / -0.0178682 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00637954 / -0.100057 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0.0246467 / -0.0305849 | 0 / 0 | 0 / 0 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0.0340215 / -0.0413889 | -0.0171354 / 0.0222493 | 2.22045e-16 / -2.22045e-16 | -9.01999e-06 / 5.66253e-06 | 0.0916995 / -0.106161 | -1.11022e-16 / -1.11022e-16 | 1.18893e-07 / -7.58388e-08 | 8.90848e-08 / -5.63971e-08 | -2.055e-08 / 1.30643e-08 | -0.0340833 / 0.0451176 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0174732 / -0.0218451 | -0.0367918 / 0.0488407 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0238402 / -0.0241496 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 2.22045e-16 / 0 | -6.3312e-06 / 5.13544e-06 | 0.0962472 / -0.0907129 | 0 / 0 | -1.14987e-07 / 9.35689e-08 | 6.25125e-08 / -5.07701e-08 | -7.52359e-08 / 6.11723e-08 | -0.0379028 / 0.0406596 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0190703 / -0.0191634 | -0.0494849 / 0.0556884 | -0.0319606 / 0.0340599 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | -0.0200105 / 0.0209148 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0372612 / -0.0297403 | -0.0398869 / 0.0386965 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -0.026729 / 0.023605 | -1.66578e-08 / 1.66464e-08 | 6.74821e-07 / -6.65756e-07 | 2.43628e-07 / -2.44895e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0390006 / -0.034107 | -0.00835834 / 0.0225329 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.001106 / -0.0836007 | -1.11022e-16 / -1.11022e-16 | 2.16358e-08 / -2.1843e-08 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0110167 / 0.0337128 | 0 / 0 | 0 / 0 | -2.22045e-16 / -1.11022e-16 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.61096e-07 / -9.67005e-07 | 0.020621 / -0.0549522 | -1.11022e-16 / 0 | -2.16546e-07 / 2.18037e-07 | -7.72296e-08 / 7.72176e-08 | 1.58487e-07 / -1.61494e-07 | 0.0522589 / -0.026692 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00833335 / 0.0314945 | -0.0422404 / 0.0688842 | -0.0516066 / -0.000104623 | 0 / 0 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / -1.11022e-16 | 0 / 0 | -6.39555e-08 / 6.45538e-08 | 1.35727e-07 / -1.36127e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
