 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0.000143797 / 0.0366097 | 0 / 0 | 0 / 0 | 0.00222871 / -0.057711 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00013936 / -0.0291182 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00828182 / 0.174235 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00348861 / -0.0394764 | 0 / 0 | -0.000206028 / -0.0204273 | 0.00187717 / -0.0315525 | -0.000617298 / 0.0364919 | -0.0168276 / -0.0684906 | 0.00996317 / -0.0302936 | 0.133739 / 0.0032824 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | -0.0581123 / -1.64783e-05 | 0 / 0 | 0 / 0 | -0.0535085 / -0.00372382 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00178021 / 0.0706641 | 0 / 0 | 0 / 0 | 0.179262 / 0.0427934 | -0.00249809 / -0.0563244 | -0.0086832 / -0.0396026 | 0 / 0 | 0 / 0 | -0.0236464 / -0.0275396 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.0410325 / 0.000409905 | -0.059009 / -0.0106408 | 0.0444215 / 0.000357757 | 0.0104416 / 0.0485237 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | -0.00667478 / -0.0503936 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0711761 / -0.000961388 | 0 / 0 | 0 / 0 | 0.0891392 / 0.0791234 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0629831 / -0.000642384 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0423706 / -0.0332845 | 0 / 0 | 0 / 0 | -0.033413 / 0.0232539 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.05662 / -0.40391 | -0.0188047 / 0.0117694 | 0 / 0 | 0.00638395 / -0.0422664 | 0.112506 / -0.0154745 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | -0.00956558 / -0.019205 | 0 / 0 | -0.0195408 / 0.0134304 | -0.0269384 / 0.0206149 | 0.0802774 / -0.0532023 | -0.0479702 / 0.0190677 | -0.0267365 / 0.0262096 | -0.00690172 / 0.127292 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0192916 / -0.0520502 | 0 / 0 | 0 / 0 | 0.085084 / -0.169086 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.275556 / 0.912398 | -0.0229271 / 0.0527381 | 0 / 0 | 0 / 0 | -0.0414508 / 0.276734 | -0.0594207 / -0.0197528 | -0.0186452 / -0.0158934 | 0 / 0 | 0 / 0 | -0.0180103 / -0.0160516 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0170684 / 0.0376274 | 0 / 0 | 0 / 0 | 0.09058 / -0.0253709 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0.0365583 / -0.000194631 | 0 / 0 | 0 / 0 | -0.0629962 / -0.000237198 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0290274 / -6.47782e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.168938 / 0.0705178 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.047262 / 0.0200475 | 0 / 0 | -0.0214769 / 0.000224748 | -0.0308916 / 0.00685874 | 0.0366933 / 0.0479038 | -0.0707068 / -0.0159491 | -0.0299128 / 0.000174726 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | -0.000171259 / -0.0569087 | 0 / 0 | 0 / 0 | -0.0640929 / -0.0556875 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0692374 / -0.00203787 | 0 / 0 | 0 / 0 | 0.0884025 / 0.206486 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000443208 / 0.0398241 | -0.0109786 / -0.0560035 | -0.000948917 / 0.0445691 | -0.0294796 / 0.000561155 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.000106666 / 0.0452863 | 0 / 0 | 0 / 0 | 0.000283651 / -0.0658349 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000118166 / -0.0245625 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000332745 / 0.107282 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000836655 / -0.0418929 | 0 / 0 | 1.94711e-05 / -0.0211711 | 0 / 2.22045e-16 | -0.00184151 / 0.0374249 | -0.0154188 / -0.153059 | 0.000311756 / -0.0529428 | 0 / 0 | 0.000272385 / -0.0621587 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.051321 / 0.000819673 | 0 / 0 | 0 / 0 | -0.0631674 / 2.0532e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105161 / 0.00179377 | 0 / 0 | -0.000989428 / 0.0687587 | 0 / 0 | 0 / 0 | 0.235844 / 0.103344 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0229222 / 0.00357932 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0394435 / -0.000863354 | -0.0771878 / -0.0110286 | 0.0434244 / -0.000104319 | 0.00185265 / 0.0460455 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0460723 / -0.000360838 | 0 / 0 | 0 / 0 | -0.0691129 / 0.00227565 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0076758 / 0.0910299 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00189676 / -0.0298198 | -0.0211007 / 0.00107131 | -0.0214385 / 0.0010143 | 2.22045e-16 / 2.22045e-16 | 0.037836 / -0.0017102 | -0.0898057 / -0.069015 | -0.0315409 / 0.000211838 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
