 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538582 / -0.50164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.000236334 / 0.0215209 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000344761 / -0.0309192 | 0 / 0 | -0.000332118 / -0.0300321 | 0 / -2.22045e-16 | 0 / 0 | 9.53247e-06 / -9.51131e-06 | 0 / 0 | -0.000273781 / -0.0247959 | -0.000593629 / -0.052892 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000431643 / 0.039508 | 0.000683951 / 0.0630176 | 0.00363235 / 0.36165 | 0 / 0 | 0 / 2.22045e-16 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.00120324 / 0.0194377 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00124313 / -0.0198915 | -0.00141676 / -0.0228467 | -0.00411017 / -0.0650367 | 0 / 0 | 1.48589e-05 / -1.33215e-05 | 0 / 0 | -0.00173218 / -0.027664 | -0.00220195 / -0.0351023 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0017444 / 0.0282393 | 0.00262045 / 0.0425663 | 0.0170441 / 0.292904 | 0 / 0 | -0.000943226 / -0.0151103 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0163605 / 0.000778245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0217517 / -0.00301466 | -0.0775162 / -0.00122556 | 0.0211275 / -0.00474586 | 0 / 0 | 0 / 0 | -0.0266205 / -0.0013318 | -0.041621 / -0.00206416 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0315231 / 0.00264002 | 0.283443 / 0.0136683 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 4.51255e-06 / -4.05503e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0502425 / 0.0529465 | 0 / 0 | -2.22045e-16 / 0 | -2.32352e-05 / 2.08941e-05 | -2.22045e-16 / 0 | -0.0300489 / 0.0310163 | 0.0434189 / -0.0416056 | 0.0259616 / -0.025382 | 0.0228667 / -0.0223969 | 0.0805011 / -0.0747932 | 47.7878 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0291001 / -0.0283603 | 0 / 0 | -0.0911294 / 0.100243 | 0 / 0 | 0.0247047 / -0.0243239 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 7.25762e-05 / 0.0303613 | 0 / 0 | 2.22045e-16 / 0 | -5.83244e-06 / 5.79324e-06 | -4.44089e-16 / -2.22045e-16 | -1.11022e-16 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000115135 / -0.0470188 | -0.000184312 / -0.0746043 | 0.000939015 / 0.43911 | 0 / 0 | 2.22045e-16 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0337152 / 0.000371775 | 2.22045e-16 / 0 | -1.53056e-06 / 1.52434e-06 | -0.0771639 / -0.000879818 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | -0.0221731 / -0.000248587 | -0.0221482 / -0.000248306 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0327896 / 0.000361666 | 0.373116 / 0.0037581 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0308874 / -0.000357793 | 0 / 0 | -0.0194718 / -0.00021666 | -0.176772 / -0.00206078 | 0.0246132 / 0.000237808 | 0 / 0 | 0 / 0 | -0.0311252 / -0.000275991 | -0.0498504 / -0.000558433 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0263418 / 0.000288529 | 0.0485034 / 0.000527908 | 0.367156 / 0.00367552 | 0 / 0 | 0 / -3.33067e-16 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | -0.03662 / 0.0391694 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | -1.71543e-05 / 1.39083e-05 | -0.0802124 / 0.089868 | 0 / 0 | 1.73608e-05 / -1.41387e-05 | 2.22045e-16 / 0 | -1.0905e-05 / 8.85788e-06 | 0.0412259 / -0.0409294 | 30.673 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.185762 / 0.234467 | 0 / 0 | 0.0238981 / -0.0246334 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0288134 / 0.00260135 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.21428e-05 / 1.21073e-05 | 2.22045e-16 / 0 | -7.70649e-06 / 7.67199e-06 | 0 / 0 | -0.0351953 / -0.998056 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0605138 / 0.0238753 | 0.393003 / -0.00530657 | 0 / 0 | 0 / 0 |
