 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttZ Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.119244 / -0.118824 | 0.119244 / -0.118824 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z generator choice | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.223733 / 0.1366 | -0.224837 / 0.137386 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z #mu_{F}=0.5 and #mu_{R}=0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.88626e-05 / 2.55873e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.41022e-07 / 1.19413e-07 | 0.0237466 / -0.0241495 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0.0776366 / 0.00943315 | 0.0903554 / -0.0290551 | 0 / 4.44089e-16 | 0.0433563 / -0.0494134 | 0.0253271 / -0.0129619 | 0.00569208 / -0.0273781 | 0.0354786 / -0.0458996 | 0.0385313 / -0.0573936 | 0 / 0 | 0 / 0 | -1.28427e-06 / 1.07354e-06 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -3.61175e-06 / 3.03692e-06 | 0.0135175 / -0.0198345 | -1.11022e-16 / 0 | 0 / 0 | -1.5539e-05 / 1.27687e-05 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.59183e-07 / -2.86594e-07 | -0.0215961 / 0.0201178 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.010598 / 0.0449698 | -0.0238835 / 0.0470999 | 2.22045e-16 / 0 | -0.0464627 / 0.030506 | -1.11022e-16 / 0 | -0.0279562 / 0.00970286 | -0.0238183 / 0.0190824 | -0.054258 / 0.0141161 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 4.40748e-07 / -4.87454e-07 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 1.158e-05 / -1.30769e-05 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.38374e-07 / 2.24474e-07 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0250067 / -0.0131853 | 0 / -1.11022e-16 | -0.0246496 / 0.0134351 | 0 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 2.22045e-16 | -0.0334122 / 0.0183225 | -0.0208361 / 0.0113272 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.27233e-06 / -1.12536e-06 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.000884798 / -0.0141573 | 0 / 2.22045e-16 | 0.00151413 / 0.0244541 | -0.00126188 / -0.0201612 | -0.00216098 / -0.0344056 | 2.22045e-16 / 0 | -0.000920672 / -0.0147292 | -0.00172076 / -0.0274438 | -0.00114985 / -0.0183793 | 2.22045e-16 / 0 | 0 / 0 | -7.00245e-07 / 6.22214e-07 | -1.37387e-06 / 1.21383e-06 | 0 / 0 | 0 / 0 | -0.00105848 / -0.0169248 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.001276 / -0.0203856 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0209457 / -0.00888777 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0.00873315 / -0.0203474 | 0 / 2.22045e-16 | 0.0198456 / -0.0185473 | 0.019435 / -0.00548188 | 0 / -2.22045e-16 | 0 / 0 | -0.0016583 / -0.0362755 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.00238546 / -0.0206723 | 0 / 0 | -1.8669e-07 / 1.88766e-07 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | -1.11022e-16 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0264111 / -0.0154084 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0.0407045 / 0.00201437 | 0.0318948 / -0.0272978 | 0.000188548 / -0.0312792 | 0.0147305 / -0.0360421 | 0 / 0 | 0.0107015 / -0.0214517 | 0.0163269 / -0.0411638 | 0.00685446 / -0.051477 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.83905e-08 / 4.69436e-08 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -7.91235e-06 / 7.3959e-06 |
 | JET_BJES_Response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.000371193 / -0.0224754 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000124645 / -0.0291616 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 |
