 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0.0061041 / -0.0275243 | 0 / 0 | 0 / 0 | -0.0157137 / -0.0590005 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00141123 / -0.0993343 | 0 / 0 | -4.44089e-16 / 0 | 0 / -3.33067e-16 | 0.0914112 / 0.00380813 | -0.00337167 / -0.0212103 | 0 / 0 | 0 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -0.000412702 / 0.019651 | -0.00251608 / 0.0301011 | 8.64885e-06 / -0.0665488 | -8.39608e-06 / 8.34515e-06 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0.00733923 / -0.0351033 | -9.59175e-06 / 9.14259e-06 | 0 / 0 | -0.0138904 / -0.0627496 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.00424835 / -0.10414 | 0 / 0 | 0 / -4.44089e-16 | -1.11022e-16 / -1.11022e-16 | 0.0962977 / 0.00630688 | -0.00861535 / -0.0277576 | 0 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00642931 / 0.0295794 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | 0.00134122 / -0.0691941 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0.00866532 / -0.029434 | -2.17403e-05 / 1.7935e-05 | 0 / 0 | -0.00792501 / -0.0993859 | 0 / 0 | 0 / 0 | -0.0988517 / -0.00746969 | 0.0190266 / -0.105697 | 0 / 0 | 0.0471393 / -0.266519 | -1.11022e-16 / -1.11022e-16 | 0.0938915 / 0.00874639 | 0 / 0 | 0 / 0 | 0.0144341 / -0.0460731 | 0.0328935 / -0.0168787 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0630903 / -0.19221 | 0 / -1.11022e-16 | 0 / 0 | 0.00521844 / -0.0260669 | 0 / -3.33067e-16 | -0.00600504 / 0.0450114 | -1.43556e-05 / 1.17875e-05 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.0275837 / 0.00518287 | 2.39637e-05 / -2.69759e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.10747 / 0.0176301 | 0 / 0 | 0 / -4.44089e-16 | -3.33067e-16 / -3.33067e-16 | 0.00779412 / 0.0907269 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.00562762 / 0.0261679 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | 0.0311625 / -0.00745395 | 2.22045e-16 / 0 | 9.56618e-06 / -1.08173e-05 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0.025991 / -0.02556 | 1.35124e-05 / -1.21306e-05 | 0 / 0 | 0.453932 / -0.315429 | 0 / 0 | 0 / 0 | 0.0670171 / -0.0630794 | -0.0353729 / 0.036725 | -0.165451 / 0.197813 | 0 / 0 | 0.0209671 / -0.0205642 | 0 / 0 | -0.0173302 / 0.0175906 | -2.22045e-16 / 2.22045e-16 | 0.0709923 / -0.066601 | 0 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | -3.33067e-16 / 2.22045e-16 | -0.0356402 / 0.0367915 | -0.094481 / 0.104327 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.0799263 / 0.0867591 | 0 / 0 | -5.4583e-06 / 4.89247e-06 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | -0.0221095 / -0.000250582 | 0 / 0 | 0 / 0 | 0.057722 / 0.000639008 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0936873 / 0.00102659 | 0 / 0 | 0.0270614 / 0.000302259 | -0.0275411 / -0.000312654 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0.023878 / 0.000266951 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248659 / 0.000277915 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -0.0227176 / -0.00137449 | 0 / 0 | 0 / 0 | 0.0462561 / 0.000540273 | 0 / 0 | 0 / 0 | -0.0227993 / -0.00120379 | 0 / 0 | 0.0504224 / 5.80569e-05 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | -0.0762115 / -0.00389682 | -0.0670738 / -0.0157655 | 0 / 0 | -0.0193776 / -0.000622408 | -3.33067e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0343789 / 0.00175295 | 0 / 0 | 0 / 2.22045e-16 | 0 / 2.22045e-16 | 0.0193963 / 0.000267174 | 0.0182561 / 0.000934619 | 3.45546e-06 / -3.7926e-06 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | -0.000768046 / -0.0201349 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000490386 / -0.0357333 | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0934513 / 0.0281893 | 0 / 0 | -0.027387 / -0.0151538 | 0 / 2.22045e-16 | 0.0300449 / -8.63153e-05 | 0.0039482 / -0.0648334 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0152548 / -0.0192648 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0133278 / -0.0264327 | 0 / 0 | -0.0350783 / 0.0724931 | 2.22045e-16 / -2.22045e-16 | 0 / -1.11022e-16 | 0.0515933 / -0.0991387 | -0.0177455 / -0.0203086 | 0 / 0 | 0.00187656 / -0.0216034 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00920386 / 0.026106 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.0179457 / 0.0280677 | 0 / 2.22045e-16 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | -0.0199039 / -0.00189954 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.0358267 / 0.000768388 | -0.0040362 / 0.0742318 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0374258 / 0.0287815 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0.000201951 / 0.029044 | -0.0649529 / -0.000246717 | 0 / 0 |
