 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_5 | -0.267498 / 0 | 0.0158987 / 0.0432341 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0850347 / 0.0435705 | 0 / 0 | 0 / 0 | -0.0460699 / 0.00106185 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / -0.121271 | 0.00350318 / -0.0396329 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0219148 / -0.0584219 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.10452 / -0.253232 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0.166233 / -0.223359 | 0.0367512 / -0.00760269 | 0 / 0 | -0.021726 / 0.00920948 | 0 / 0 | 0.0516294 / 0.101167 | 0 / 0 | 0 / 0 | 0.000387081 / -0.0709596 | 0.000632234 / 0.038336 | 0 / 2.22045e-16 | 0 / 2.22045e-16 | 0.171364 / -0.275522 | -0.0276916 / -0.0237257 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.76952e-12 / 0.0289184 | 0 / 0 | 0.155699 / 0.127986 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.104483 / -0.244613 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_6 | -0.267225 / 0 | 0.0439062 / 0.0163711 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0766209 / 0.0497895 | 0 / 0 | 0 / 0 | -0.045654 / 0 | -2.22045e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / -1.11022e-16 | -0.132126 / 0.0108546 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.144906 / 0.0172425 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.253269 / 0.00984982 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_7 | -0.0725834 / -0.0725834 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0.0452495 / 0.0450906 | 0 / 0 | 0 / 0 | -0.0859372 / 0 | 0.0386088 / 0.000421019 | 0 / 0 | 0 / 0 | -0.00172972 / 0.0392385 | -0.0346151 / -0.00238038 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.215616 / 0.0504683 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_7 | -0.195662 / -0.117806 | 0.0210986 / -0.00518545 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00654824 / 0.0454233 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0.0382618 | 0 / 0 | 0 / -1.11022e-16 | -0.132126 / 0 | -0.000910331 / -0.0386403 | 0 / 0 | -0.0205915 / 0.000881195 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0518599 / -0.145824 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.00984982 / -0.253269 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0.229937 / -0.0725834 | -0.0450353 / 0.0161185 | -0.165111 / 0 | 0 / 0 | 0 / 0 | 0.0829875 / 0.0162062 | 0 / 0 | 0 / 0 | -0.0458804 / -0.0416971 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | -1.11022e-16 / 0.169635 | 0 / 0 | 0 / 0 | 0.0215676 / -0.00342549 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0818052 / 0.128471 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.000246372 / -0.104483 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_9 | -0.223359 / 0 | -0.0405378 / 0.0108293 | 0 / 0 | 0.0213988 / -0.0272993 | 0 / 0 | 0.101433 / 0.0376555 | 0 / 0 | 0 / 0 | -0.0864298 / 0 | 0.0385453 / -2.22045e-16 | 0 / 0 | 0 / -1.11022e-16 | -0.143397 / 2.22045e-16 | -0.0238802 / -0.00238038 | 0 / 0 | 0.0216567 / 0.0121762 | 0 / 0 | 0 / 0 | 0.0289184 / 9.76952e-12 | 0 / 0 | 0.126269 / 0.0720366 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.104237 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 2.22045e-16 / -0.312413 | -0.00405287 / 0.031937 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0.0381858 | 0 / 0 | 0 / 0 | 0 / -0.0450081 | -2.22045e-16 / 0.0380184 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000910331 / -0.0351371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0736016 / -0.144787 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.00981283 / -0.253232 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / -0.223359 | 0 / -2.22045e-16 | 0 / -0.16529 | -0.0272993 / 0.00133747 | 0 / 0 | 0.0854342 / 0.00025735 | 0 / 0 | 0 / 0 | -0.0416971 / -0.0443456 | 0.000632234 / 0.0379731 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | 0 / 0.0279678 | 0.00163796 / -0.0282235 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.76952e-12 / 0.0289184 | 0 / 0 | 0.0506279 / 0.103096 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 2.22045e-16 / 0.112839 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | -0.149721 / -0.117806 | -0.00440378 / 0.022681 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0438614 / -0.0489507 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0380184 / -2.22045e-16 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | -0.0391555 / 0.00310801 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0743985 / 0.051478 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.253232 / 0.00981283 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
