 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | HFe | 10.5451 pm 3.35101 | 4.02117 pm 1.28815 | 36.8941 pm 11.4152 | 12.3088 pm 3.94188 | 16.891 pm 5.35362 | 17.5564 pm 5.56912 | 49.0652 pm 15.5399 | 49.5886 pm 15.694 | 0.101469 pm 0.183222 | 0.388832 pm 0.123644 | 3.23045 pm 1.02491 | 0.4282 pm 0.157529 | 11.0417 pm 3.49902 | 
 | HFm | 13.7018 pm 2.09293 | 1.81919 pm 0.286157 | 24.8437 pm 3.90514 | 104.448 pm 15.2772 | 59.4058 pm 9.01796 | 65.3361 pm 9.92869 | 87.7844 pm 13.3213 | 90.2219 pm 13.7006 | 0.347794 pm 0.153845 | 0.467363 pm 0.0915893 | 5.85944 pm 0.89745 | 0.530203 pm 0.142964 | 22.3383 pm 3.39491 | 
 | light | 3.50847 pm 0.0719182 | 1.4858 pm 0.0636827 | 0.957025 pm 0.610267 | 0.419843 pm 0.30343 | 2.71705 pm 0.0320357 | 0.947606 pm 0.0157783 | 15.1261 pm 0.165117 | 9.54696 pm 0.118938 | 0.320067 pm 0.00575639 | 0.0295088 pm 0.00079305 | 1.96521 pm 0.0352119 | 0.796746 pm 0.0146209 | 10.3697 pm 0.0919453 | 
 | otherfake | 37.1764 pm 0.762059 | 10.363 pm 0.444167 | 4.36872 pm 0.75509 | 6.12382 pm 0.146974 | 27.258 pm 0.312044 | 24.0387 pm 0.339351 | 14.2145 pm 0.166684 | 12.0568 pm 0.147787 | 0.876946 pm 0.0132618 | 0.411021 pm 0.0137648 | 2.29343 pm 0.263196 | 1.42272 pm 0.147177 | 19.9011 pm 0.20459 | 
 | singleTop | 3.94156 pm 1.23337 | 0.110352 pm 0.0347764 | 4.73217 pm 1.48361 | 9.2526 pm 2.89404 | 18.7377 pm 5.85422 | 11.9353 pm 3.73052 | 18.2756 pm 5.70822 | 13.1309 pm 4.10242 | 0.340876 pm 0.142788 | 0.254159 pm 0.100042 | 1.8938 pm 0.640329 | 1.47294 pm 0.460453 | 8.58241 pm 2.68025 | 
 | Diboson | 8.26351 pm 2.14022 | 0.156846 pm 0.0595342 | 11.1428 pm 1.76894 | 18.1451 pm 2.0773 | 10.0909 pm 2.95989 | 7.67427 pm 2.1928 | 71.9725 pm 20.3045 | 49.6491 pm 13.7906 | 0.108963 pm 0.0632671 | 0.0866187 pm 0.0472735 | 0.647431 pm 0.336165 | 0.860783 pm 0.447897 | 5.06637 pm 2.48416 | 
 | triboson | 0.0694023 pm 0.00142264 | 0.00321896 pm 0.000137968 | 0.312419 pm 0.0116081 | 0.480933 pm 0.0123268 | 0.0880928 pm 0.000977173 | 0.0818149 pm 0.00114721 | 1.36323 pm 0.0149123 | 1.02315 pm 0.0126074 | 0.00086207 pm 1.45087e-05 | 0.0122337 pm 0.00530164 | 0.00821951 pm 0.000857887 | 0.0440387 pm 0.000760341 | 0.0800668 pm 0.000664793 | 
 | vh | 1.01462e-06 pm 5.01005e-07 | 1.01474e-06 pm 5.02529e-07 | 0.323936 pm 0.177567 | 0.120365 pm 0.247314 | 3.03413e-06 pm 1.49759e-06 | 0.275821 pm 0.414555 | 0.364233 pm 0.330896 | 0.327806 pm 0.782465 | 2.03615e-06 pm 1.00495e-06 | 2.02641e-06 pm 1.00102e-06 | 4.05128e-06 pm 1.99933e-06 | 3.04021e-06 pm 1.50085e-06 | 4.0607e-06 pm 2.00365e-06 | 
 | t#bar{t}W^{+} | 12.1438 pm 1.58134 | 0.227793 pm 0.0310376 | 4.93428 pm 0.726365 | 10.1735 pm 1.48647 | 204.605 pm 25.8244 |  0 pm 0 | 136.582 pm 17.539 |  0 pm 0 | 2.8298 pm 0.93271 | 1.14419 pm 0.233957 | 16.7687 pm 3.14783 | 5.04145 pm 0.919227 | 80.1191 pm 14.1307 | 
 | t#bar{t}W^{-} | 6.56716 pm 1.48185 | 0.14339 pm 0.0327609 | 2.83377 pm 0.661362 | 5.12623 pm 1.19789 |  0 pm 0 | 101.608 pm 22.5066 |  0 pm 0 | 67.7004 pm 14.8218 | 1.07418 pm 0.372079 | 0.440539 pm 0.143122 | 8.74942 pm 2.18233 | 2.58872 pm 0.63474 | 43.5012 pm 10.3946 | 
 | ttZp3000 | 0.0690657 pm 0.0412248 | 0.00495429 pm 0.00296328 | 0.000820048 pm 0.00135687 | 0.00147578 pm 0.00114501 | 0.312333 pm 0.186381 | 0.330898 pm 0.19746 | 0.867802 pm 0.520673 | 0.871599 pm 0.521171 | 8.66852 pm 5.16966 | 2.32241 pm 1.3852 | 7.87165 pm 4.6934 | 1.28569 pm 0.767112 | 4.44721 pm 2.65368 | 
 | Total | 308.389 pm 17.3749 | 69.799 pm 8.32172 | 103.069 pm 9.34326 | 178.597 pm 12.6475 | 454.777 pm 18.9297 | 340.361 pm 16.2606 | 536.408 pm 17.4019 | 429.861 pm 14.2254 | 39.1866 pm 4.53632 | 15.9915 pm 1.41525 | 106.501 pm 5.26105 | 44.4558 pm 2.66768 | 393.877 pm 15.857 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
